month,market_type,category,item,spec,price_source,price
2025-10,SSM,농산물,쌀,청풍명월(20kg),평균,66750.0
2025-10,SSM,농산물,쌀,청풍명월(20kg),SSM 온천2동 장대농협_x000d_ 하나로마트,65000.0
2025-10,SSM,농산물,쌀,청풍명월(20kg),신성동 농협_x000d_ 하나로마트,67500.0
2025-10,SSM,농산물,쌀,청풍명월(20kg),구즉 정우마트,64800.0
2025-10,SSM,농산물,쌀,청풍명월(20kg),관평 농협_x000d_ 하나로마트,66000.0
2025-10,SSM,농산물,쌀,청풍명월(20kg),회 덕 동 하나로마트,65000.0
2025-10,SSM,농산물,쌀,청풍명월(20kg),비래동 M엠마트,69800.0
2025-10,SSM,농산물,쌀,청풍명월(20kg),송 촌 동 하나로마트,65000.0
2025-10,SSM,농산물,쌀,청풍명월(20kg),신탄진동 이마트슈퍼,77900.0
2025-10,SSM,농산물,쌀,청풍명월(20kg),"석봉,목상동 하나로마트",61500.0
2025-10,SSM,농산물,쌀,청풍명월(20kg),덕암동 하나로마트,65000.0
2025-10,SSM,농산물,콩,"국산, 백태 1kg",평균,11234.0
2025-10,SSM,농산물,콩,"국산, 백태 1kg",SSM 온천2동 장대농협_x000d_ 하나로마트,11600.0
2025-10,SSM,농산물,콩,"국산, 백태 1kg",어은동_x000d_ 롯데슈퍼,10990.0
2025-10,SSM,농산물,콩,"국산, 백태 1kg",신성동 농협_x000d_ 하나로마트,10640.0
2025-10,SSM,농산물,콩,"국산, 백태 1kg",전민동 엑스포코아_x000d_ 롯데슈퍼,13980.0
2025-10,SSM,농산물,콩,"국산, 백태 1kg",구즉 정우마트,12400.0
2025-10,SSM,농산물,콩,"국산, 백태 1kg",관평 농협_x000d_ 하나로마트,8700.0
2025-10,SSM,농산물,콩,"국산, 백태 1kg",오정동 두아름,12000.0
2025-10,SSM,농산물,콩,"국산, 백태 1kg",대화동 우리마트,12000.0
2025-10,SSM,농산물,콩,"국산, 백태 1kg",회 덕 동 하나로마트,9200.0
2025-10,SSM,농산물,콩,"국산, 백태 1kg",비래동 M엠마트,13400.0
2025-10,SSM,농산물,콩,"국산, 백태 1kg",송 촌 동 하나로마트,11960.0
2025-10,SSM,농산물,콩,"국산, 백태 1kg",신탄진동 이마트슈퍼,11000.0
2025-10,SSM,농산물,콩,"국산, 백태 1kg","석봉,목상동 하나로마트",9700.0
2025-10,SSM,농산물,콩,"국산, 백태 1kg",덕암동 하나로마트,9700.0
2025-10,SSM,농산물,참깨,국산 500g,평균,26918.0
2025-10,SSM,농산물,참깨,국산 500g,SSM 온천2동 장대농협_x000d_ 하나로마트,33335.0
2025-10,SSM,농산물,참깨,국산 500g,어은동_x000d_ 롯데슈퍼,42250.0
2025-10,SSM,농산물,참깨,국산 500g,신성동 농협_x000d_ 하나로마트,38783.0
2025-10,SSM,농산물,참깨,국산 500g,구즉 정우마트,33740.0
2025-10,SSM,농산물,참깨,국산 500g,관평 농협_x000d_ 하나로마트,32940.0
2025-10,SSM,농산물,참깨,국산 500g,비래동 M엠마트,4700.0
2025-10,SSM,농산물,참깨,국산 500g,"석봉,목상동 하나로마트",2680.0
2025-10,SSM,농산물,사과,"부사 400g1개, 중품",평균,5114.0
2025-10,SSM,농산물,사과,"부사 400g1개, 중품",SSM 온천2동 장대농협_x000d_ 하나로마트,3500.0
2025-10,SSM,농산물,사과,"부사 400g1개, 중품",어은동_x000d_ 롯데슈퍼,3990.0
2025-10,SSM,농산물,사과,"부사 400g1개, 중품",노은1 홈프러스_x000d_ 익스프레스,3747.0
2025-10,SSM,농산물,사과,"부사 400g1개, 중품",신성동 농협_x000d_ 하나로마트,5000.0
2025-10,SSM,농산물,사과,"부사 400g1개, 중품",전민동 엑스포코아_x000d_ 롯데슈퍼,4497.0
2025-10,SSM,농산물,사과,"부사 400g1개, 중품",구즉 정우마트,5900.0
2025-10,SSM,농산물,사과,"부사 400g1개, 중품",관평 농협_x000d_ 하나로마트,5000.0
2025-10,SSM,농산물,사과,"부사 400g1개, 중품",오정동 두아름,4750.0
2025-10,SSM,농산물,사과,"부사 400g1개, 중품",회 덕 동 하나로마트,5389.0
2025-10,SSM,농산물,사과,"부사 400g1개, 중품",비래동 M엠마트,5500.0
2025-10,SSM,농산물,사과,"부사 400g1개, 중품",송 촌 동 하나로마트,8302.0
2025-10,SSM,농산물,사과,"부사 400g1개, 중품",신탄진동 이마트슈퍼,2490.0
2025-10,SSM,농산물,사과,"부사 400g1개, 중품","석봉,목상동 하나로마트",5530.0
2025-10,SSM,농산물,사과,"부사 400g1개, 중품",덕암동 하나로마트,8000.0
2025-10,SSM,농산물,배,"신고배 600g1개, 중품",평균,4876.0
2025-10,SSM,농산물,배,"신고배 600g1개, 중품",SSM 온천2동 장대농협_x000d_ 하나로마트,5500.0
2025-10,SSM,농산물,배,"신고배 600g1개, 중품",전민동 엑스포코아_x000d_ 롯데슈퍼,4330.0
2025-10,SSM,농산물,배,"신고배 600g1개, 중품",구즉 정우마트,5900.0
2025-10,SSM,농산물,배,"신고배 600g1개, 중품",관평 농협_x000d_ 하나로마트,6000.0
2025-10,SSM,농산물,배,"신고배 600g1개, 중품",오정동 두아름,3846.0
2025-10,SSM,농산물,배,"신고배 600g1개, 중품",회 덕 동 하나로마트,3649.0
2025-10,SSM,농산물,배,"신고배 600g1개, 중품",비래동 M엠마트,5980.0
2025-10,SSM,농산물,배,"신고배 600g1개, 중품",송 촌 동 하나로마트,4784.0
2025-10,SSM,농산물,배,"신고배 600g1개, 중품",신탄진동 이마트슈퍼,3980.0
2025-10,SSM,농산물,배,"신고배 600g1개, 중품","석봉,목상동 하나로마트",3667.0
2025-10,SSM,농산물,배,"신고배 600g1개, 중품",덕암동 하나로마트,6000.0
2025-10,SSM,농산물,감귤,100g 정도 10개,평균,7158.0
2025-10,SSM,농산물,감귤,100g 정도 10개,SSM 온천2동 장대농협_x000d_ 하나로마트,8000.0
2025-10,SSM,농산물,감귤,100g 정도 10개,어은동_x000d_ 롯데슈퍼,9990.0
2025-10,SSM,농산물,감귤,100g 정도 10개,노은1 홈프러스_x000d_ 익스프레스,12990.0
2025-10,SSM,농산물,감귤,100g 정도 10개,신성동 농협_x000d_ 하나로마트,4900.0
2025-10,SSM,농산물,감귤,100g 정도 10개,전민동 엑스포코아_x000d_ 롯데슈퍼,7995.0
2025-10,SSM,농산물,감귤,100g 정도 10개,구즉 정우마트,4900.0
2025-10,SSM,농산물,감귤,100g 정도 10개,관평 농협_x000d_ 하나로마트,9500.0
2025-10,SSM,농산물,감귤,100g 정도 10개,대화동 우리마트,5400.0
2025-10,SSM,농산물,감귤,100g 정도 10개,비래동 M엠마트,4980.0
2025-10,SSM,농산물,감귤,100g 정도 10개,송 촌 동 하나로마트,4458.0
2025-10,SSM,농산물,감귤,100g 정도 10개,신탄진동 이마트슈퍼,9980.0
2025-10,SSM,농산물,감귤,100g 정도 10개,"석봉,목상동 하나로마트",5980.0
2025-10,SSM,농산물,감귤,100g 정도 10개,덕암동 하나로마트,3980.0
2025-10,SSM,농산물,밤,굵은것 1kg,평균,12123.0
2025-10,SSM,농산물,밤,굵은것 1kg,신성동 농협_x000d_ 하나로마트,10900.0
2025-10,SSM,농산물,밤,굵은것 1kg,전민동 엑스포코아_x000d_ 롯데슈퍼,10500.0
2025-10,SSM,농산물,밤,굵은것 1kg,구즉 정우마트,26580.0
2025-10,SSM,농산물,밤,굵은것 1kg,회 덕 동 하나로마트,9000.0
2025-10,SSM,농산물,밤,굵은것 1kg,비래동 M엠마트,7980.0
2025-10,SSM,농산물,밤,굵은것 1kg,송 촌 동 하나로마트,10101.0
2025-10,SSM,농산물,밤,굵은것 1kg,"석봉,목상동 하나로마트",9800.0
2025-10,SSM,농산물,무,통무우 2kg,평균,2311.0
2025-10,SSM,농산물,무,통무우 2kg,SSM 온천2동 장대농협_x000d_ 하나로마트,2500.0
2025-10,SSM,농산물,무,통무우 2kg,어은동_x000d_ 롯데슈퍼,2890.0
2025-10,SSM,농산물,무,통무우 2kg,노은1 홈프러스_x000d_ 익스프레스,2490.0
2025-10,SSM,농산물,무,통무우 2kg,신성동 농협_x000d_ 하나로마트,2500.0
2025-10,SSM,농산물,무,통무우 2kg,전민동 엑스포코아_x000d_ 롯데슈퍼,1290.0
2025-10,SSM,농산물,무,통무우 2kg,구즉 정우마트,2490.0
2025-10,SSM,농산물,무,통무우 2kg,관평 농협_x000d_ 하나로마트,2300.0
2025-10,SSM,농산물,무,통무우 2kg,오정동 두아름,2500.0
2025-10,SSM,농산물,무,통무우 2kg,대화동 우리마트,2932.0
2025-10,SSM,농산물,무,통무우 2kg,회 덕 동 하나로마트,2512.0
2025-10,SSM,농산물,무,통무우 2kg,비래동 M엠마트,2500.0
2025-10,SSM,농산물,무,통무우 2kg,송 촌 동 하나로마트,2283.0
2025-10,SSM,농산물,무,통무우 2kg,신탄진동 이마트슈퍼,1280.0
2025-10,SSM,농산물,무,통무우 2kg,"석봉,목상동 하나로마트",2804.0
2025-10,SSM,농산물,무,통무우 2kg,덕암동 하나로마트,1400.0
2025-10,SSM,농산물,배추,통배추 2kg,평균,4847.0
2025-10,SSM,농산물,배추,통배추 2kg,SSM 온천2동 장대농협_x000d_ 하나로마트,4500.0
2025-10,SSM,농산물,배추,통배추 2kg,어은동_x000d_ 롯데슈퍼,5990.0
2025-10,SSM,농산물,배추,통배추 2kg,노은1 홈프러스_x000d_ 익스프레스,6990.0
2025-10,SSM,농산물,배추,통배추 2kg,신성동 농협_x000d_ 하나로마트,4500.0
2025-10,SSM,농산물,배추,통배추 2kg,전민동 엑스포코아_x000d_ 롯데슈퍼,5990.0
2025-10,SSM,농산물,배추,통배추 2kg,구즉 정우마트,4990.0
2025-10,SSM,농산물,배추,통배추 2kg,관평 농협_x000d_ 하나로마트,4000.0
2025-10,SSM,농산물,배추,통배추 2kg,회 덕 동 하나로마트,2824.0
2025-10,SSM,농산물,배추,통배추 2kg,비래동 M엠마트,4633.0
2025-10,SSM,농산물,배추,통배추 2kg,송 촌 동 하나로마트,4302.0
2025-10,SSM,농산물,배추,통배추 2kg,신탄진동 이마트슈퍼,5980.0
2025-10,SSM,농산물,배추,통배추 2kg,"석봉,목상동 하나로마트",4118.0
2025-10,SSM,농산물,배추,통배추 2kg,덕암동 하나로마트,4200.0
2025-10,SSM,농산물,고추가루,"국산, 400g",평균,18632.0
2025-10,SSM,농산물,고추가루,"국산, 400g",SSM 온천2동 장대농협_x000d_ 하나로마트,15840.0
2025-10,SSM,농산물,고추가루,"국산, 400g",어은동_x000d_ 롯데슈퍼,20230.0
2025-10,SSM,농산물,고추가루,"국산, 400g",노은1 홈프러스_x000d_ 익스프레스,22384.0
2025-10,SSM,농산물,고추가루,"국산, 400g",신성동 농협_x000d_ 하나로마트,3690.0
2025-10,SSM,농산물,고추가루,"국산, 400g",전민동 엑스포코아_x000d_ 롯데슈퍼,26590.0
2025-10,SSM,농산물,고추가루,"국산, 400g",구즉 정우마트,25000.0
2025-10,SSM,농산물,고추가루,"국산, 400g",관평 농협_x000d_ 하나로마트,15840.0
2025-10,SSM,농산물,고추가루,"국산, 400g",오정동 두아름,20800.0
2025-10,SSM,농산물,고추가루,"국산, 400g",대화동 우리마트,23200.0
2025-10,SSM,농산물,고추가루,"국산, 400g",회 덕 동 하나로마트,16000.0
2025-10,SSM,농산물,고추가루,"국산, 400g",비래동 M엠마트,26000.0
2025-10,SSM,농산물,고추가루,"국산, 400g",송 촌 동 하나로마트,16000.0
2025-10,SSM,농산물,고추가루,"국산, 400g",신탄진동 이마트슈퍼,15100.0
2025-10,SSM,농산물,고추가루,"국산, 400g","석봉,목상동 하나로마트",16800.0
2025-10,SSM,농산물,고추가루,"국산, 400g",덕암동 하나로마트,16000.0
2025-10,SSM,농산물,양파,망에든것 1kg,평균,2810.0
2025-10,SSM,농산물,양파,망에든것 1kg,SSM 온천2동 장대농협_x000d_ 하나로마트,2390.0
2025-10,SSM,농산물,양파,망에든것 1kg,어은동_x000d_ 롯데슈퍼,2640.0
2025-10,SSM,농산물,양파,망에든것 1kg,노은1 홈프러스_x000d_ 익스프레스,2660.0
2025-10,SSM,농산물,양파,망에든것 1kg,신성동 농협_x000d_ 하나로마트,2600.0
2025-10,SSM,농산물,양파,망에든것 1kg,전민동 엑스포코아_x000d_ 롯데슈퍼,2640.0
2025-10,SSM,농산물,양파,망에든것 1kg,구즉 정우마트,2990.0
2025-10,SSM,농산물,양파,망에든것 1kg,관평 농협_x000d_ 하나로마트,3980.0
2025-10,SSM,농산물,양파,망에든것 1kg,오정동 두아름,3273.0
2025-10,SSM,농산물,양파,망에든것 1kg,대화동 우리마트,2734.0
2025-10,SSM,농산물,양파,망에든것 1kg,회 덕 동 하나로마트,2785.0
2025-10,SSM,농산물,양파,망에든것 1kg,비래동 M엠마트,2980.0
2025-10,SSM,농산물,양파,망에든것 1kg,송 촌 동 하나로마트,1434.0
2025-10,SSM,농산물,양파,망에든것 1kg,신탄진동 이마트슈퍼,2990.0
2025-10,SSM,농산물,양파,망에든것 1kg,"석봉,목상동 하나로마트",2259.0
2025-10,SSM,농산물,양파,망에든것 1kg,덕암동 하나로마트,3800.0
2025-10,SSM,농산물,대파,1kg,평균,3249.0
2025-10,SSM,농산물,대파,1kg,SSM 온천2동 장대농협_x000d_ 하나로마트,2990.0
2025-10,SSM,농산물,대파,1kg,어은동_x000d_ 롯데슈퍼,3390.0
2025-10,SSM,농산물,대파,1kg,노은1 홈프러스_x000d_ 익스프레스,3390.0
2025-10,SSM,농산물,대파,1kg,신성동 농협_x000d_ 하나로마트,3000.0
2025-10,SSM,농산물,대파,1kg,전민동 엑스포코아_x000d_ 롯데슈퍼,3390.0
2025-10,SSM,농산물,대파,1kg,구즉 정우마트,3490.0
2025-10,SSM,농산물,대파,1kg,관평 농협_x000d_ 하나로마트,2500.0
2025-10,SSM,농산물,대파,1kg,오정동 두아름,4500.0
2025-10,SSM,농산물,대파,1kg,대화동 우리마트,3958.0
2025-10,SSM,농산물,대파,1kg,회 덕 동 하나로마트,3092.0
2025-10,SSM,농산물,대파,1kg,비래동 M엠마트,2480.0
2025-10,SSM,농산물,대파,1kg,송 촌 동 하나로마트,1008.0
2025-10,SSM,농산물,대파,1kg,신탄진동 이마트슈퍼,3980.0
2025-10,SSM,농산물,대파,1kg,"석봉,목상동 하나로마트",4600.0
2025-10,SSM,농산물,대파,1kg,덕암동 하나로마트,2960.0
2025-10,SSM,농산물,깐마늘,"국산, 중품, 100g",평균,1475.0
